test,test,test,test
H-H,Red Maple,2479,234523
H-M,American hornbeam,125,8383
H-M,Red Pine,84,6009
H-M,Quaking Aspen,56,4372
H-M,Bur Oak,286,59307
H-L,Black ash,4,464
H-L,Bigtooth Aspen,4,847
H-L,Eastern Hemlock,14,458
M-H,Norway Maple,9653,123120
M-M,Sugar Maple,629,75644
M-M,White ash,584,77012
M-M,Green ash,576,63310
M-M,Butternut,9,1594
M-M,Black Willow,39,5281
M-M,White Pine,155,5912
M-M,Norway Spruce,171,12733
M-M,Scotch Pine,55,3718
M-M,Scarlet Oak,26,2704
M-M,Chokecherry,26,645
M-M,Black CherryÂ ,49,2747
M-L,American Beech,1,80
M-L,Chinkapin Oak,4,514
M-L,Willow Oak,1,96
M-L,Chestnut Oak,5,604
M-L,American Basswood,657,56169
L-H,Silver Maple,4608,826663
L-H,Honey Locust,1570,194292
L-H,Northern Red Oak,1207,105767
L-M,Boxelder,119,14837
L-M,Serviceberry,377,7435
L-M,Pignut Hickory,21,3641
L-M,Shagbark Hickory,65,13150
L-M,Black Walnut,169,32816
L-M,Eastern hophornbeam,477,41914
L-M,Sycamore,117,24083
L-M,White Spruce,142,5558
L-M,Eastern Cottonwood,279,538223
L-M,White Oak,183,31321
L-M,Swamp White Oak,1252,77294
L-M,Shingle Oak,72,4083
L-M,Black Locust,100,16176
L-M,Slippery Elm,33,3728
L-M,American Elm,321,69330
L-L,Striped Maple,61,677
L-L,Bitternut Hickory,1,157